followers_count,friends_count,favorites_count,statuses_count,default_profile,default_profile_image,verified,bot
78,221,261,1953,0,0,0,1
21,19,0,1160,1,0,0,1
12,33,47,65,1,0,0,1
669,7,9396,21522,0,0,0,1
0,34,0,0,1,1,0,1
324,0,0,6664,0,0,0,1
283,443,4021,2864,1,1,0,1
95,3,0,2464,0,0,0,1
571,15,1,1181,1,0,0,1
20,1827,312,387,0,0,0,1
3,523,87,113,1,0,0,1
16,25,1,150,0,0,0,1
782,0,0,276,1,0,0,1
6,0,0,241,0,0,0,1
187,1,1,10881,0,0,0,1
659,806,1,9565,1,0,0,1
9,89,0,4,1,1,0,1
40,0,0,884,1,0,0,1
2,350,32,34,1,0,0,1
1,365,29,25,1,0,0,1
160,3,1,4080,1,0,0,1
972,43,253,7460,0,0,0,1
34,22,0,19078,1,0,0,1
176,5,0,5685,1,0,0,1
156,1,0,22280,0,0,0,1
736,3482,22,681,1,0,0,1
2,323,40,34,1,0,0,1
76,0,0,183,1,0,0,1
970,1642,145,976,0,0,0,1
32,0,0,1038,0,0,0,1
762,317,293,40206,0,0,0,1
231,0,0,622,1,0,0,1
7,664,157,187,1,0,0,1
531,1,0,25992,1,0,0,1
23,0,2,99,1,0,0,1
3,49,4,1,1,1,0,1
139,7,3,497,0,0,0,1
66,601,25,1697,0,0,0,1
693,386,18,3271,1,0,0,1
3,57,0,1,1,0,0,1
0,60,0,0,1,1,0,1
55,1,0,1841755,1,0,0,1
64,32,2,4269,1,0,0,1
102,2,0,51833,1,0,0,1
0,290,30,35,1,0,0,1
1214,2573,967,415,0,0,0,1
18,3,0,1817,1,0,0,1
255,5,0,288,0,0,0,1
72,0,0,2233,1,0,0,1
253,57,9,36435,1,0,0,1
0,346,30,39,1,0,0,1
244,0,0,14990,1,0,0,1
20,1,0,1578,0,0,0,1
0,68,0,1,1,0,0,1
1929,2753,1843,10337,0,0,0,1
660,0,0,4773,1,0,0,1
358,1,1,42988,1,0,0,1
1,259,14,33,1,0,0,1
25,897,38,20,1,1,0,1
2,97,0,0,1,1,0,1
1056,1576,55901,87824,1,0,0,1
17504,0,0,27782,0,0,0,1
12,2034,333,476,0,0,0,1
68,1,1,401,1,0,0,1
12,0,0,156,1,0,0,1
6027,0,2,116980,0,0,0,1
3947,4728,70947,91770,0,0,0,1
25,1935,267,368,0,0,0,1
3,519,97,107,1,0,0,1
3,6,16,17,1,1,0,1
560,0,0,17873,0,0,0,1
0,30,39,60,1,0,0,1
12,1,0,692,1,0,0,1
4,259,12,12,1,0,0,1
0,100,0,0,1,1,0,1
17,500,1,4,1,0,0,1
49,1537,0,1,1,0,0,1
638,60,1,4647,1,0,0,1
21172,20058,0,80502,1,0,0,1
547,650,1,6857,1,0,0,1
0,34,55,71,1,0,0,1
116,1,1,1031,0,0,0,1
194,3,0,5652,1,0,0,1
12368,0,34,587,0,0,0,1
2682,403,6309,72033,1,0,0,1
176,2,0,23319,1,1,0,1
160,12,0,14279,1,0,0,1
18,0,0,1590,0,0,0,1
35,1,0,4402,1,0,0,1
5,714,124,189,1,0,0,1
1829,8,62,27851,1,0,0,1
1,262,25,28,1,0,0,1
0,26,39,57,1,0,0,1
152,0,0,3301,1,0,0,1
24,2000,273,315,0,0,0,1
162,0,0,20469,1,0,0,1
62,0,0,166,1,0,0,1
107,334,19,5394,1,0,0,1
0,231,17,20,1,0,0,1
509,35,0,10551,0,0,0,1
288,1,0,3427,1,0,0,1
117,353,7,2853,0,0,0,1
198,2,1,11675,0,0,0,1
2,12,202,0,1,1,0,1
873,8,0,20734,1,0,0,1
99,0,0,75,0,0,0,1
134,0,0,7597,0,0,0,1
15,1,0,5017,1,0,0,1
4,47,0,1,0,0,0,1
145,1,0,6758,1,0,0,1
19,1952,290,420,0,0,0,1
1,236,25,24,1,0,0,1
41,1,0,3048,0,0,0,1
1,80,0,1,1,0,0,1
1229,83,21,614,0,0,0,1
1,341,33,42,1,0,0,1
167,5,0,607,1,0,0,1
1129,7,0,23557,0,0,0,1
0,22,0,1,1,1,0,1
3,0,0,1050,1,0,0,1
505,13,0,5109,0,0,0,1
15,0,0,31365,1,0,0,1
16,1,0,1832,0,0,0,1
41,394,3,4,1,0,0,1
549,370,12,4658,0,0,0,1
0,60,0,10,1,0,0,1
0,43,48,86,1,0,0,1
102,3,0,10873,1,0,0,1
578,17,0,5234,0,0,0,1
1,34,68,98,1,0,0,1
1456,12,4,72096,0,0,0,1
0,1,0,0,0,0,0,1
14,253,2,0,1,0,0,1
506,11,5,41052,1,0,0,1
307,0,1,423,0,0,0,1
518,5,0,94196,1,0,0,1
0,118,0,0,1,1,0,1
1,4,22,4,1,1,0,1
50,2,0,1228,1,0,0,1
3,336,29,39,1,0,0,1
394,0,0,7956,1,0,0,1
428,410,630,16989,1,0,0,1
630,4,96,15036,0,0,0,1
928,20,7,3421,1,0,0,1
44,5,3,2396,1,0,0,1
20,0,0,50,1,0,0,1
5831,57,16,457649,0,0,0,1
26,0,0,6832,1,0,0,1
10014,27,0,14473,0,0,0,1
8939,6003,710,5846,1,0,0,1
2,386,28,41,1,0,0,1
467,956,261,5748,0,0,0,1
94,1,0,2383,0,0,0,1
6664,1,0,6025,1,0,0,1
0,335,24,32,1,0,0,1
4,0,0,1469,0,0,0,1
37,35,0,9,1,0,0,1
0,247,28,24,1,0,0,1
14,214,0,3,1,0,0,1
537,1,0,281,1,0,0,1
284,66,0,5986,1,0,0,1
0,27,38,60,1,0,0,1
80,0,0,10794,1,0,0,1
120,836,1,8,1,0,0,1
293,344,0,8638,0,0,0,1
243,4,0,69595,1,0,0,1
18,3,1,1456,1,0,0,1
79,80,23,901,0,0,0,1
576,31,8,2370,1,0,0,1
2,42,29,39,1,0,0,1
0,349,42,77,1,0,0,1
21,0,0,1343,1,0,0,1
16,1,1,2001,1,0,0,1
239,0,0,22089,1,0,0,1
9968,2,3399,8782,0,0,0,1
0,223,24,24,1,0,0,1
8,86,12,3,1,1,0,1
906,2434,277,528,1,0,0,1
1,352,29,33,1,0,0,1
1419,1,5,32244,0,0,0,1
39,0,1,303,1,0,0,1
835,2290,74533,17259,1,0,0,1
2,360,27,60,1,0,0,1
856,1078,0,130262,1,0,0,1
240,45,66,1993,0,0,0,1
4213,0,0,4364,0,0,0,1
77,490,1,15,0,0,0,1
0,336,23,23,1,0,0,1
172,5,5,3497,0,0,0,1
213,0,0,1063,1,0,0,1
379,12,0,22371,0,0,0,1
335,0,1,17375,0,0,0,1
102,86,0,1,1,0,0,1
52,0,0,93310,1,0,0,1
5631,6,48,6574,0,0,0,1
10,15,13,3,1,0,0,1
66,1,4,70,0,0,0,1
4965,0,1,67870,0,0,0,1
14917,227,919,53398,0,0,0,1
20,0,0,42453,1,0,0,1
803,31,0,808,0,0,0,1
164,0,51,2714,1,0,0,1
17,1,0,1522,1,0,0,1
9,0,0,6,1,0,0,1
9632,0,0,13936,0,0,0,1
0,86,0,0,1,1,0,1
6,109,0,2,1,1,0,1
1784,43,5,389,0,0,0,1
79,0,5,4007,0,0,0,1
96,29,0,195,1,0,0,1
600,818,651,1787,0,0,0,1
52,2,0,702,1,0,0,1
184,0,0,1125,1,0,0,1
945,2027,2847,13935,0,0,0,1
67,0,0,886,1,0,0,1
1,29,48,72,1,0,0,1
338,471,35,260,0,0,0,1
2925,3,0,708,1,0,0,1
10,0,0,10370,0,0,0,1
47,197,62,1,1,0,0,1
54,1351,2,6,1,0,0,1
0,9,0,0,1,1,0,1
209,16,0,21278,0,0,0,1
335,3,2,4934,0,0,0,1
1,369,28,36,1,0,0,1
62,0,0,4106,1,1,0,1
155,0,0,14702,1,0,0,1
125,1,0,3201,1,0,0,1
499,53,75,2592,1,0,0,1
2,1,0,1360,1,0,0,1
70,5,2,4310,1,0,0,1
305,4,0,112538,1,1,0,1
956,0,0,434,1,0,0,1
543,3911,141,0,1,0,0,1
37,0,0,0,1,0,0,1
13,164,0,5,1,0,0,1
107,30,2,11151,0,0,0,1
34284,17397,0,191383,0,0,0,1
273,37,0,10115,1,0,0,1
8,45,3,5,1,0,0,1
3459,2282,3888,57256,0,0,0,1
275,1,1,1961,0,0,0,1
1325,1797,0,18265,0,0,0,1
1690,0,108,15530,1,0,0,1
0,21,0,1,1,1,0,1
71,0,0,1490,1,0,0,1
2,501,102,130,1,0,0,1
4856,2162,0,1223,0,0,0,1
354,1,0,29635,1,0,0,1
0,39,0,0,1,0,0,1
455,480,42,6320,1,0,0,1
1,341,44,36,1,0,0,1
0,243,13,18,1,0,0,1
128,1814,7,18,1,1,0,1
3,39,0,3,1,1,0,1
151,1437,1,5,1,0,0,1
137,0,0,86797,0,0,0,1
2108,3,8,49270,0,0,0,1
153,0,0,2072,1,0,0,1
0,27,86,127,1,0,0,1
41,1,0,673,1,0,0,1
460,65,14,9058,1,0,0,1
1569,4882,95,112,1,0,0,1
7852,1,8,27610,1,0,0,1
50,0,0,926,1,1,0,1
74,7,1,80949,1,0,0,1
2108,1,2,5619,0,0,0,1
0,266,22,35,1,0,0,1
1474799,1,1793,20990,0,0,0,1
396,0,0,3608,1,0,0,1
166,25,0,3622,0,0,0,1
5388,0,0,31751,0,0,0,1
8,1,0,258,0,0,0,1
8063,1,42,119,1,0,0,1
148,0,0,1723,0,0,0,1
7154703,240,640,5995,0,0,1,1
9,484,87,109,1,0,0,1
47,1,0,2610,1,0,0,1
3,38,3,5,1,1,0,1
13,5,0,10693,0,0,0,1
1655947,0,124,480858,0,0,0,1
2149,1,0,3741,1,0,0,1
1,261,24,21,1,0,0,1
646,1221,25654,26729,0,0,0,1
18672,0,0,18270,0,0,0,1
16,1,0,1237,1,0,0,1
14,1978,289,426,0,0,0,1
4,102,2,0,1,0,0,1
280,48,3,4722,0,0,0,1
147,0,0,1388,1,0,0,1
20,0,0,5131,0,0,0,1
918,0,2,92849,1,0,0,1
12,64,0,7,1,0,0,1
1381,0,0,1292,1,0,0,1
4948,296,17,41190,0,0,0,1
27,2257,288,323,0,0,0,1
0,30,0,0,1,1,0,1
0,18,0,0,1,1,0,1
0,44,73,106,1,0,0,1
2,51,75,125,1,0,0,1
213,213,0,5988,0,0,0,1
189,366,1,36,1,0,0,1
166,1,0,17017,0,0,0,1
136,1,5,34446,0,0,0,1
100,1,257,6605,1,0,0,1
98,274,1,37,0,0,0,1
90,1,4,6703,1,0,0,1
7,0,0,5669,0,0,0,1
292,1,0,1958,0,0,0,1
4198,3,15,158639,1,0,0,1
60,0,0,1476,1,0,0,1
1,74,0,1,1,1,0,1
4355,2,3,26381,0,0,0,1
74,0,0,4415,1,0,0,1
3,270,19,22,1,0,0,1
3,631,115,177,1,0,0,1
9,93,0,8,1,0,0,1
263,13,0,452,0,0,0,1
8,0,0,528,1,0,0,1
30,564,5,22,1,0,0,1
5528,117,71,5201,0,0,0,1
1,495,87,97,1,0,0,1
274,2,21,15340,1,0,0,1
1640,26,14,19151,0,0,0,1
689,4,1,46115,0,0,0,1
647,0,3,75704,1,0,0,1
1870,4,3,16468,1,0,0,1
2,316,22,31,1,0,0,1
3523,2726,32,18407,0,0,0,1
0,10,56,79,1,0,0,1
2,362,34,39,1,0,0,1
33,13,0,1136,1,1,0,1
7,30,0,2,1,0,0,1
570,0,1,5096,0,0,0,1
993,4992,8,108,0,0,0,1
3153,103,0,288368,1,0,0,1
209,578,29,130,1,0,0,1
15659,0,0,849518,1,0,0,1
17,1926,279,369,0,0,0,1
99,563,1,46,1,0,0,1
34,1,0,41492,0,0,0,1
0,37,0,0,1,1,0,1
492,14,1,107,0,0,0,1
69,1513,0,1,1,0,0,1
6,0,0,1066,1,0,0,1
43536,1,1,104405,0,0,0,1
712,623,1423,38905,0,0,0,1
153,0,0,144271,1,1,0,1
119,0,0,1761,1,0,0,1
9,1,0,2983,0,0,0,1
41,8,0,2,1,0,0,1
213,0,0,5685,1,0,0,1
463,14,4,2754,1,0,0,1
17,215,0,1,1,0,0,1
90,22,0,29724,1,0,0,1
93,95,0,23391,0,0,0,1
20,1867,286,397,0,0,0,1
153,2,3,391,1,0,0,1
119,1,0,18719,0,0,0,1
27,1928,314,355,0,0,0,1
0,25,0,0,1,1,0,1
12,0,0,251,1,1,0,1
978,2104,3,114,0,0,0,1
575,0,6,4204,0,0,0,1
1,69,0,11,1,0,0,1
0,67,0,0,1,1,0,1
1514,4218,523,522,1,0,0,1
55,2,0,759,1,0,0,1
41056,304,1009,63307,0,0,0,1
2097,4,0,47707,0,0,0,1
2399,4936,319,5581,0,0,0,1
27728,65,452,16231,0,0,0,1
42,0,1,964,1,0,0,1
110,111,0,3609,0,0,0,1
4294,7,134,72621,0,0,0,1
0,264,11,20,1,0,0,1
340,0,0,188270,1,0,0,1
1902,3,11,95201,1,0,0,1
493,7,0,2964,0,0,0,1
39,0,0,208,0,0,0,1
190,657,39,594,0,0,0,1
557,3,11,440,0,0,0,1
1651,1,0,1599,1,0,0,1
202,8,0,2978,0,0,0,1
986,1,15734,30417,1,0,0,1
957,2826,3255,4413,0,0,0,1
3,343,37,41,1,0,0,1
0,148,7,17,1,0,0,1
372,4815,15,2,1,0,0,1
7503,0,1,108527,1,0,0,1
10407,11555,0,25783,0,0,0,1
1511,138,0,30161,0,0,0,1
29,1,0,105,1,0,0,1
253,0,0,40184,1,0,0,1
1174,19,23,1145,1,0,0,1
6805,88,0,3272,1,0,0,1
1,280,19,16,1,0,0,1
943,1,0,14074,1,0,0,1
79,0,0,40308,0,0,0,1
302,1,0,2953,0,0,0,1
10684,158,41,91,1,0,1,1
75,0,0,6414,1,0,0,1
158,2410,0,1,1,1,0,1
7,1,0,5856,0,0,0,1
1,387,33,44,1,0,0,1
101,1,0,1281,1,0,0,1
133,271,39,18,0,0,0,1
280,0,0,717,1,0,0,1
299,1,0,3855,0,0,0,1
3738,7,24,59713,1,0,0,1
4,0,0,127,1,0,0,1
1,41,154,1,1,1,0,1
180,4,2,5265,0,0,0,1
280,0,0,6413,1,0,0,1
36,1,0,3649,0,0,0,1
632,0,0,2822,1,0,0,1
1,30,98,106,1,0,0,1
371,5,1,70202,0,0,0,1
17,564,0,4,1,0,0,1
20,287,2,1,1,0,0,1
412,15,0,46926,0,0,0,1
533,0,0,7145,1,1,0,1
2623,5,409,3952,0,0,0,1
202,1,0,1678,1,0,0,1
98,24,2,3336,1,0,0,1
694,0,0,22368,1,0,0,1
168,2,0,12406,1,0,0,1
147,0,0,96,0,0,0,1
4087,1,1,3549,1,0,0,1
75,4,12,1770,0,0,0,1
8,669,133,177,1,0,0,1
237,1,0,27579,1,0,0,1
0,60,0,0,1,1,0,1
8,91,0,18,1,1,0,1
702,1359,0,94409,0,0,0,1
129,4,0,1168,1,0,0,1
292,2225,0,0,1,0,0,1
0,461,64,93,1,0,0,1
4,445,60,80,1,0,0,1
1,258,14,14,1,0,0,1
99,0,0,1665,0,0,0,1
66,2,0,432,1,0,0,1
752,0,86,21132,1,0,0,1
15,3,721,854,0,0,0,1
1902,94,5,21114,0,0,0,1
5744,3,2,105941,1,0,0,1
1,162,0,0,1,1,0,1
8,0,0,41,1,0,0,1
52,222,10,1,1,0,0,1
421,1636,0,4701,1,0,0,1
413,148,0,22,0,0,0,1
1479,3,19,32440,1,0,0,1
252,2,70,15823,0,0,0,1
163,206,12,502,1,0,0,1
3,30,0,1,1,0,0,1
65,0,0,10069,1,0,0,1
6766,3006,83,79860,0,0,0,1
1637,1770,2,66824,0,0,0,1
116,0,0,8421,1,0,0,1
24,712,2,22,1,1,0,1
239,344,0,9347,0,0,0,1
8073,1,0,29984,0,0,0,1
29,97,0,3,1,0,0,1
0,20,0,0,1,1,0,1
372,1136,1,46,0,0,0,1
6,0,0,2751,1,0,0,1
16748,41,20542,837,0,0,0,1
204,0,2,23502,0,0,0,1
12853,13,0,4874,1,0,0,1
16,3,1,119,0,0,0,1
592885,13699,3716,51157,0,0,1,1
36,0,1,394,0,0,0,1
392,0,0,1325,1,0,0,1
5476,385,4,5846,1,0,0,1
22,2107,297,387,0,0,0,1
3,230,23,25,1,0,0,1
2,352,23,44,1,0,0,1
51,0,0,13622,1,0,0,1
61,3,0,6000,0,0,0,1
3569,6,134,2459,0,0,0,1
2,262,13,19,1,0,0,1
11,201,26,5,1,0,0,1
1226,2636,25,664,0,0,0,1
1,455,72,121,1,0,0,1
57,1,0,79525,1,0,0,1
1211,1,0,160,1,0,0,1
0,338,32,35,1,0,0,1
0,98,0,2,1,1,0,1
131,1,0,1622,1,0,0,1
247,0,2,17811,0,0,0,1
85,13,1637,115,0,0,0,1
284,29,1,4865,1,0,0,1
5259,3881,83,545,0,0,0,1
176,16,4,5040,1,0,0,1
66,1,0,2989,1,0,0,1
36,0,0,416,1,0,0,1
633,43,76,1627,1,0,0,1
7,163,0,1,1,0,0,1
55,1343,0,0,1,1,0,1
5,505,90,114,1,0,0,1
5730,951,3634,16205,0,0,0,1
4956,7,100,2179,1,0,0,1
2,350,20,21,1,0,0,1
533,2,2,1056,1,0,0,1
8,725,172,191,0,0,0,1
98,8,2,3375,1,1,0,1
29,0,0,2839,0,0,0,1
2,14,1,1,1,1,0,1
461,95,0,115356,1,0,0,1
601,0,0,24135,0,0,0,1
912,1164,3951,23106,0,0,0,1
236,0,0,9719,0,0,0,1
85,4707,2,4,1,0,0,1
14491,134,2923,2497530,0,0,0,1
281,0,0,879,0,0,0,1
60,11,2,4882,1,0,0,1
10,1,0,787,0,0,0,1
174,6,0,1699,1,0,0,1
66,1801,0,30,1,0,0,1
148,0,0,12083,1,0,0,1
2047969,102396,860,67905,0,0,0,1
326,947,0,13,1,0,0,1
2,353,18,30,1,0,0,1
15,134,0,3,0,0,0,1
445,4997,109,83,0,0,0,1
369,1,0,318279,0,0,0,1
8392,30,1361,5730,0,0,0,1
20723,3,33,663,0,0,0,1
0,30,0,0,1,1,0,1
2800,3049,20941,17985,0,0,0,1
939,0,1,626,1,0,0,1
4896,8,57638,57640,0,0,0,1
1,331,15,29,1,0,0,1
500,0,0,5719,1,0,0,1
139,43,0,6345,0,0,0,1
5,0,0,424,0,0,0,1
1,498,103,102,1,0,0,1
30,0,0,11572,0,0,0,1
207,5,108,728,1,0,0,1
45,0,0,81,0,0,0,1
190,187,1,11079,0,0,0,1
38,113,1,1,1,0,0,1
197,0,0,684818,1,0,0,1
3,659,136,169,1,0,0,1
598,1,0,9684,1,0,0,1
88195,82994,892,1933,1,0,1,1
132,0,0,14516,1,0,0,1
2,25,44,88,1,0,0,1
187,4271,51,165,1,0,0,1
8,5,0,27,1,0,0,1
879,1,2426,1217604,1,0,0,1
12,0,2,8637,1,0,0,1
9,25,400,385,1,0,0,1
6,36,77,151,1,0,0,1
0,32,59,82,1,0,0,1
1,337,38,30,1,0,0,1
211,1,0,46816,1,0,0,1
113,0,0,25120,0,0,0,1
0,235,14,14,1,0,0,1
1810,1,24,35024,1,0,0,1
58,0,0,7839,1,0,0,1
86,28,127,211,0,0,0,1
17,4,0,228,1,1,0,1
14,593,1,4,1,0,0,1
12,742,148,175,0,0,0,1
35,2118,364,570,0,0,0,1
5,69,2,0,1,1,0,1
86,433,174,26,1,0,0,1
29,10,0,5197,1,0,0,1
1254,2,3,335950,1,0,0,1
36,0,879,467,1,0,0,1
252,6,11,236,1,0,0,1
2,52,87,128,1,0,0,1
0,308,21,24,1,0,0,1
52,1,0,15085,0,0,0,1
0,30,0,0,1,1,0,1
39,0,0,9729,1,0,0,1
1421,2157,166,169,0,0,0,1
1701,1,1,3105,1,0,0,1
0,20,0,0,1,1,0,1
17,0,0,1859,1,0,0,1
82,1,0,2087,1,0,0,1
1,398,31,61,1,0,0,1
10,168,18,4,1,0,0,1
69,1193,2,10,0,0,0,1
4,140,0,1,1,1,0,1
21,1880,305,454,0,0,0,1
292,0,0,40166,1,0,0,1
4419,1,12,10626,1,0,0,1
0,18,0,0,1,1,0,1
1786,2525,1,136932,0,0,0,1
148,1,0,178,0,0,0,1
286,0,0,94599,1,0,0,1
85,0,0,205,1,0,0,1
276,264,2,83013,0,0,0,1
206,124,0,4,1,0,0,1
81,1,0,2459,1,0,0,1
74704,1,5919,49429,0,0,0,1
212,2,0,8468,1,0,0,1
116,1,0,4659,1,0,0,1
371,1,2,3849,1,0,0,1
12,1053,0,2,1,0,0,1
156,2,4,7075,0,0,0,1
17,0,1,0,1,0,0,1
2482,1,4,5597,0,0,0,1
50,0,1,1557,1,0,0,1
404,621,12,1169,1,0,0,1
175,2,2,8843,1,0,0,1
0,70,0,0,1,1,0,1
5,0,0,4472,1,0,0,1
662,0,0,56625,0,0,0,1
4,492,57,76,1,0,0,1
7,31,19,69,1,1,0,1
11,1983,323,397,0,0,0,1
152,374,47,1044,1,0,0,1
3,29,0,1,1,1,0,1
1264,1288,0,24133,1,0,0,1
128,1,1,3533,0,0,0,1
0,26,47,65,1,0,0,1
46,20,0,516,1,0,0,1
684,68,6,9645,0,0,0,1
7,0,0,104,0,0,0,1
20,300,6,1,1,0,0,1
3745,0,0,3063,1,0,0,1
35906,35744,864,3027,1,0,0,1
78,2,1,677,1,0,0,1
68,0,2,2407,1,0,0,1
51,2,4,18514,1,0,0,1
12349,5,203,20547,0,0,0,1
65,220,1,24,1,0,0,1
4,70,1,1,0,0,0,1
627,10,6,1634,0,0,0,1
83,6,1,13849,0,0,0,1
4,537,90,103,1,0,0,1
864,5,0,23022,0,0,0,1
4937,5,0,1641,1,0,0,1
307,4,5,2060,1,0,0,1
242,1,20,69791,0,0,0,1
777,4732,0,0,1,0,0,1
10,0,0,5205,0,0,0,1
43,0,0,2507,0,0,0,1
3246,2757,6466,69884,1,0,0,1
0,0,183,1,0,0,0,1
107,1,0,16414,0,0,0,1
299,42,0,26508,0,0,0,1
17,1903,311,366,0,0,0,1
22,201,7,8,1,0,0,1
33,1,2,1029,1,0,0,1
12415,402,201,5986,0,0,0,1
99348,3,4,428,0,0,0,1
27481,1,4,42940,1,0,0,1
305,29,3,162,1,0,0,1
98,48,4,2830,1,0,0,1
514,0,0,7455,0,0,0,1
495,1,0,4756,1,0,0,1
275,252,103,755,0,0,0,1
0,15,0,0,1,1,0,1
0,33,56,83,1,0,0,1
3,63,0,1,1,0,0,1
4,102,0,1,1,1,0,1
1,367,29,37,1,0,0,1
337,2,12,7870,1,0,0,1
1599,3,2,18100,1,0,0,1
26,4,0,3799,1,0,0,1
10250,10378,211,262067,1,0,0,1
43869,4786,125,120082,0,0,0,1
4,28,0,2,1,0,0,1
2,41,0,1,1,0,0,1
0,264,29,51,1,0,0,1
21,0,1,65,1,0,0,1
483883,0,0,62634,0,0,0,1
461,873,0,126,1,0,0,1
4,32,0,29,1,1,0,1
0,14,81,95,1,0,0,1
788,0,0,2358,0,0,0,1
1,319,19,25,1,0,0,1
2,101,2,7,1,0,0,1
